title,22.52,22.69,6,7
title,22.71,23.29,8,8
title,23.45,23.80,10,11
title,23.82,24.06,12,12
title,24.20,24.31,10,11
title,24.33,24.38,13,13
title,24.43,24.47,11,11
title,24.52,24.98,13,13
title,25.45,25.61,4,4
title,25.77,25.91,9,10
title,25.96,26.17,11,10
title,26.28,28.54,8,8
title,29.16,29.33,6,7
title,29.35,31.35,8,9
title,31.53,31.86,3,3
title,32.18,32.62,5,5
title,33.07,33.30,3,3
title,33.48,33.83,7,7
title,33.85,34.44,9,9
title,34.74,34.97,7,7
title,35.20,36.15,9,9
title,36.22,36.25,11,11
title,36.27,36.90,13,13
title,37.01,37.18,11,11
title,37.34,38.61,7,8
title,38.96,39.82,10,11
title,40.12,40.43,8,9
title,40.45,41.08,10,10
title,41.10,42.49,12,13
title,42.59,42.70,8,9
title,42.72,43.58,10,10
title,43.61,45.53,8,8
title,45.98,46.00,2,2
title,46.02,46.23,6,6
title,46.44,46.51,9,9
title,46.53,46.72,7,7
title,46.90,47.14,17,17
title,47.28,47.55,15,15
title,47.69,48.02,11,12
title,48.30,48.79,7,8
title,48.81,49.39,9,9
title,49.97,50.16,4,4
title,50.34,50.57,7,8
title,50.71,50.92,10,10
title,50.99,51.11,8,8
title,51.13,51.39,10,10
title,51.50,51.71,13,12
title,51.78,52.62,9,10
title,52.66,52.76,11,11
title,52.80,53.87,13,12
title,54.01,56.77,10,9
title,56.80,58.21,8,9
title,58.28,58.56,10,10
title,58.84,59.21,7,7
title,59.44,59.63,11,12
title,59.72,60.16,13,14
title,60.28,60.30,8,8
title,60.33,60.81,10,11
title,60.98,61.07,8,8
title,61.11,62.09,10,10
title,62.32,62.83,2,2
title,63.02,63.18,7,7
title,63.34,63.79,11,12
title,63.81,64.06,13,13
title,64.13,64.34,15,15
title,64.41,64.67,10,11
title,64.74,65.13,12,13
title,65.43,65.62,8,8
title,65.71,65.74,11,11
title,65.76,66.04,13,14
title,66.08,66.46,11,12
title,66.50,67.08,14,13
title,67.57,67.78,10,11
title,67.85,68.24,7,8
title,68.59,68.61,11,11
title,68.64,68.75,13,13
title,68.87,69.78,11,12
title,69.80,71.40,13,14
title,71.52,71.75,16,16
title,71.84,72.86,14,14
title,73.47,74.65,16,15
title,75.23,75.65,11,12
title,75.70,77.23,13,14
title,77.28,77.60,16,16
title,77.83,78.85,14,15
title,78.95,79.11,17,18
title,79.18,79.30,14,15
title,79.32,80.09,16,17
title,80.48,80.50,21,21
title,80.71,80.97,19,19
title,81.22,81.34,8,8
title,81.36,81.43,10,10
title,81.50,82.20,19,18
title,82.34,82.45,16,17
title,82.48,83.29,18,18
title,83.41,83.48,14,15
title,83.50,84.03,16,15
title,84.06,84.45,14,15
title,84.47,84.52,27,27
title,84.57,84.61,16,16
title,84.66,85.47,18,17
title,85.50,85.84,16,17
title,85.87,86.59,18,19
title,86.80,87.07,13,13
title,87.59,87.61,20,20
title,87.68,87.93,19,20
title,88.14,90.35,13,13
title,90.42,92.86,15,14
title,92.88,92.90,12,12
title,92.93,93.41,14,15
title,93.44,93.83,16,16
title,93.90,94.04,13,13
title,94.13,94.99,15,14
title,95.02,95.39,13,13
title,95.43,95.64,15,16
title,95.71,95.92,18,18
title,96.04,96.29,15,15
title,96.50,96.64,17,17
title,96.69,96.71,19,19
title,96.83,96.94,19,19
title,97.06,97.08,17,17
title,97.15,97.27,19,20
title,97.29,98.06,21,21
title,98.36,98.48,15,16
title,98.50,98.62,17,17
title,98.73,98.75,19,19
title,98.82,99.22,19,20
title,99.24,99.31,21,21
title,99.38,99.40,18,18
title,99.43,100.08,21,21
title,100.12,100.17,25,25
title,100.22,100.66,20,20
title,100.73,101.15,15,16
title,101.19,102.07,18,17
title,102.54,102.61,14,15
title,102.63,103.19,16,15
title,103.33,104.26,13,13
title,104.49,105.37,10,10
title,105.42,106.49,12,13
title,106.53,107.09,14,13
title,107.55,108.53,8,7
title,108.67,109.16,5,5
title,109.60,126.71,8,9
title,126.78,126.80,4,4
title,126.83,127.32,6,7
title,127.34,127.97,8,9
title,128.31,128.57,10,10
title,128.59,129.31,12,13
title,129.38,129.57,14,13
title,129.71,130.52,8,9
title,130.54,131.54,10,11
title,131.80,132.35,3,3
