title,8.17,9.75,7,7
title,11.33,12.98,5,5
title,19.55,21.90,9,9
title,22.43,23.01,12,12
title,23.59,25.73,6,6
title,27.86,28.68,2,3
title,29.44,31.00,7,6
title,32.23,34.53,1,1
title,36.83,37.71,7,7
title,38.59,40.52,5,4
title,41.33,51.43,8,7
title,53.22,60.46,4,4
title,60.74,61.09,7,7
title,61.44,61.72,14,13
title,61.86,61.88,27,27
title,61.90,62.16,15,15
title,62.28,63.20,17,17
title,63.85,63.92,15,15
title,64.13,64.18,16,16
title,64.23,64.39,28,28
title,64.55,65.46,13,13
title,65.48,65.62,15,15
title,65.76,65.97,17,17
title,66.18,66.80,19,20
title,66.83,67.08,21,21
title,67.20,68.80,18,18
title,70.31,71.03,20,20
title,71.38,71.87,10,11
title,72.31,72.68,16,16
title,72.82,73.05,18,18
title,73.24,75.37,19,18
title,75.98,76.39,16,16
title,76.44,77.28,18,19
title,77.60,78.55,7,8
title,78.67,78.83,27,27
title,78.99,79.09,15,15
title,79.13,79.44,18,18
title,79.55,79.64,16,16
title,79.69,80.69,18,18
title,80.99,81.27,16,16
title,81.55,81.69,14,15
title,81.73,82.06,16,16
title,82.34,82.52,11,11
title,82.62,83.55,13,12
title,83.92,84.03,10,10
title,84.15,84.38,13,14
title,84.43,85.03,16,15
title,85.36,85.50,13,13
title,85.64,85.82,15,15
title,86.01,87.91,13,14
title,88.10,89.16,11,11
title,90.19,90.49,9,9
title,90.74,91.16,13,13
title,91.25,92.81,21,20
title,93.07,93.62,19,19
title,94.18,94.32,11,11
title,94.41,94.64,16,16
title,94.88,95.48,18,19
title,95.57,96.69,20,20
title,97.38,97.73,11,11
title,98.08,98.64,18,18
title,98.68,100.75,20,21
title,101.24,101.70,16,15
title,101.94,102.77,18,18
title,103.42,103.70,21,21
title,103.98,104.03,19,19
title,104.07,104.19,17,18
title,104.26,104.28,19,19
title,104.44,104.79,20,21
title,105.05,106.12,18,18
title,106.77,107.02,14,15
title,107.23,107.44,16,16
title,107.65,108.83,10,11
title,109.13,109.46,13,13
title,109.64,109.90,16,16
title,110.16,110.67,13,13
title,110.76,110.83,15,15
title,110.90,111.04,13,13
title,111.55,111.83,11,11
title,111.92,111.94,14,14
title,111.97,112.25,17,18
title,112.43,112.94,27,27
title,113.45,113.62,17,17
title,113.78,114.06,19,20
title,114.24,118.93,21,22
title,119.07,119.79,19,20
title,120.09,128.45,17,18
title,136.16,136.32,7,8
title,136.44,137.86,9,9
title,139.27,140.71,3,4
title,141.83,142.08,11,11
title,142.34,151.63,8,7
title,154.18,154.44,3,4
title,154.55,156.57,5,6
title,158.55,160.03,2,3
title,161.43,162.05,6,5
title,162.35,162.40,10,10
title,162.45,162.70,13,14
title,162.73,162.96,28,28
title,163.19,163.21,15,15
title,163.47,163.93,17,17
title,164.40,166.12,12,13
title,166.63,166.65,16,16
title,167.00,167.07,18,18
