title,15.74,21.01,12,12
title,23.59,24.82,10,11
title,25.40,30.16,13,14
title,30.28,30.70,16,17
title,30.79,31.07,14,14
title,31.11,31.51,16,16
title,31.76,32.32,13,13
title,32.88,34.34,11,11
title,35.81,36.52,9,9
title,37.24,41.80,11,10
title,44.16,44.61,16,17
title,44.63,45.95,18,17
title,46.11,46.63,14,14
title,47.14,47.39,16,16
title,47.65,49.02,14,14
title,50.20,50.36,11,12
title,50.48,51.08,13,13
title,51.13,51.48,11,11
title,51.83,54.31,9,8
title,54.43,55.94,12,12
title,56.75,57.21,9,9
title,57.35,57.38,12,12
title,57.40,58.00,14,14
title,58.05,60.19,16,16
title,61.35,62.72,11,10
title,62.97,63.60,9,9
title,64.23,64.39,11,11
title,64.55,64.99,14,13
title,65.11,65.76,11,11
title,66.36,67.13,7,7
title,67.90,68.06,9,9
title,68.22,69.15,12,13
title,69.24,73.10,14,13
title,73.14,73.21,12,12
title,73.28,73.68,16,16
title,73.75,74.12,13,14
title,74.16,74.47,16,16
title,74.72,77.48,11,12
title,79.04,79.62,9,9
title,80.20,81.29,12,12
title,82.38,85.03,10,10
title,87.59,88.70,14,14
title,88.75,92.74,12,11
title,95.53,96.66,10,10
title,96.87,97.29,12,13
title,97.48,101.91,14,14
title,101.94,102.31,17,16
title,102.35,102.75,13,14
title,102.77,103.00,16,16
title,103.14,103.26,18,18
title,103.38,103.91,12,12
title,104.26,104.33,10,10
title,104.40,109.39,12,11
title,109.74,112.92,10,10
title,116.10,116.22,16,17
title,116.24,116.87,18,19
title,116.94,117.14,16,16
title,117.31,117.42,18,17
title,117.45,118.03,16,15
title,118.33,118.77,14,15
title,118.79,119.05,16,16
title,119.21,119.56,12,13
title,119.72,120.93,14,14
title,121.95,122.02,11,11
title,122.09,123.18,13,12
title,123.30,123.51,11,11
title,123.72,123.86,9,9
title,123.99,124.85,11,11
title,125.67,125.92,9,10
title,126.08,126.97,12,11
title,127.29,127.45,9,9
title,127.57,128.03,11,11
title,128.50,128.52,9,9
title,128.55,128.57,21,21
title,128.59,128.89,9,10
title,129.01,129.68,13,14
title,129.71,130.75,15,16
title,130.82,133.05,12,11
title,133.10,133.82,10,10
title,134.54,135.28,7,7
title,135.98,137.39,13,12
title,138.02,138.69,7,7
title,139.37,139.51,11,11
title,139.64,139.76,9,9
title,139.88,141.32,12,13
title,141.36,143.03,14,13
title,144.66,144.96,12,12
title,145.12,146.05,17,16
title,146.38,148.42,12,12
title,149.91,150.86,6,6
title,151.81,152.07,11,11
title,152.32,152.44,8,9
title,152.46,155.85,10,10
title,156.36,157.94,14,14
title,159.06,161.43,17,17
title,162.54,162.70,15,14
title,162.82,163.40,17,16
title,163.42,165.35,15,14
title,165.37,166.23,13,12
title,166.25,166.37,11,11
title,166.49,166.77,9,10
title,166.95,167.86,12,11
title,168.62,168.93,10,10
title,169.23,169.30,18,18
title,170.53,173.34,16,16
title,175.12,175.31,8,9
title,175.36,175.57,11,12
title,175.59,176.22,13,14
title,176.24,177.26,15,16
title,177.45,177.52,12,12
title,177.59,178.61,14,14
title,179.63,182.46,11,12
title,182.56,183.58,13,13
title,184.13,186.36,10,9
title,186.41,186.76,12,13
title,186.78,188.08,14,13
title,188.22,189.75,11,11
title,191.29,191.56,13,14
title,191.70,191.98,16,16
title,192.21,192.33,14,15
title,192.35,192.56,16,16
title,192.68,192.96,18,18
title,193.10,195.51,12,11
title,196.86,197.67,10,10
title,198.48,200.48,12,11
title,200.67,200.67,10,10
