title	1.44	1.46	1	1
title	1.49	1.6	3	3
title	1.72	2.09	6	6
title	2.46	2.79	3	3
title	3.11	3.32	6	7
title	3.34	4.41	8	8
title	5.48	6.64	2	2
title	8.92	10.29	4	4
title	10.4	10.57	6	7
title	10.59	11.1	9	10
title	11.56	11.68	6	7
title	11.75	11.91	9	9
title	12.03	12.38	7	7
title	12.49	13.44	5	6
title	14.58	14.74	4	4
title	14.91	15.7	7	7
title	16.39	16.53	1	2
title	16.63	17.37	4	5
title	17.41	18.07	6	5
title	18.48	18.95	14	14
title	19.41	19.6	9	9
title	19.69	20.22	7	8
title	20.67	20.78	1	1
title	20.85	21.32	3	3
title	21.73	22.43	11	12
title	23.03	23.06	3	3
title	23.08	23.2	5	5
title	23.31	23.41	1	1
title	23.5	24.17	4	4
title	24.85	24.96	8	9
title	25.03	25.38	10	10
title	25.73	26.01	7	7
title	26.05	26.17	5	5
title	26.28	26.49	8	8
title	26.52	27.98	6	7
title	29.3	29.65	13	13
title	29.86	31.74	6	7
title	33.53	35.32	4	4
title	35.34	36.04	6	6
title	36.73	38.08	14	14
title	39.33	43.72	8	7
title	43.75	43.77	5	5
title	43.79	43.82	7	7
title	43.84	44.4	9	8
title	44.77	46.11	6	6
title	47.46	49.5	4	4
title	50.71	52.06	9	8
title	53.27	54.4	13	12
title	54.47	54.85	11	11
title	55.22	55.54	16	16
title	55.87	56.45	18	18
title	56.7	60.02	20	20
title	60.65	60.84	20	20
title	61.02	62.88	13	13
title	64.64	65.67	15	16
title	66.5	67.22	20	19
title	67.24	67.27	18	18
title	67.29	69.08	20	19
title	69.8	70.38	18	18
title	70.73	73.03	20	21
title	73.1	75.56	23	23
title	76.39	76.63	28	28
title	76.86	76.97	13	13
title	77.09	77.93	11	11
title	78.76	79.55	16	16
title	79.92	80.32	18	19
title	80.34	81.69	20	20
title	81.78	81.99	18	18
title	82.2	82.36	16	16
title	82.43	84.87	18	18
title	86.38	95.57	15	16
title	103.98	106.49	7	7
title	108.99	111.73	9	9
title	114.43	118.68	4	4
title	122.93	124.34	9	9
title	125.76	126.41	11	11
title	129.94	132.98	20	20
title	133.51	133.91	20	20
title	134.03	134.84	13	13
title	135.65	138.02	15	15
title	140.39	145.91	20	21
title	146.38	147.68	23	23
title	147.86	148.96	21	21
title	150.05	151.05	11	11
title	152.04	152.72	16	16
title	153.39	156.87	20	20
title	159.38	159.52	18	18
title	159.61	161.12	16	17
title	161.8	162.59	22	21
title	162.91	167.09	20	21
title	168.16	169.09	23	23
title	169.23	171.36	23	24
title	171.73	172.15	20	19
title	172.29	175.47	18	18
title	177.12	177.21	14	14
title	177.31	177.49	16	16
title	177.63	179.23	19	20
title	179.26	182.58	21	20
title	182.74	185.41	13	13
title	187.8	188.1	18	18
title	188.36	188.78	20	20
title	189.2	191.1	22	23
title	192.54	193.24	20	20
title	193.33	193.75	1	1
title	194.58	194.95	22	23
title	199.46	200.36	12	12
title	201.27	202.11	16	16
title	202.94	204.71	20	19
title	204.75	206.1	18	19
