title,37.06,37.71,13,13
title,37.8,38.5,15,15
title,38.64,40.26,6,6
title,40.59,41.84,8,8
title,42.17,42.45,6,6
title,42.54,44.4,11,11
title,44.49,44.77,13,13
title,44.86,45.33,15,15
title,45.42,47.37,13,13
title,47.93,48.67,15,16
title,48.76,49.83,18,18
title,49.88,50.99,15,15
title,51.08,51.55,13,13
title,51.64,52.52,11,11
title,52.66,52.94,8,8
title,53.03,56.29,16,15
title,56.38,59.86,13,13
title,60.46,60.74,15,15
title,60.84,61.11,13,13
title,61.21,63.07,16,16
title,63.16,63.48,18,18
title,63.53,63.99,20,20
title,64.09,66.59,15,16
title,66.69,68.96,18,18
title,69.01,69.29,20,20
title,69.38,69.89,18,18
title,69.94,73.38,20,20
title,73.47,76.53,22,23
title,76.63,78.58,25,25
title,79.13,81.36,22,22
title,81.46,82.11,20,20
title,82.2,84.89,23,22
title,84.99,85.68,20,20
title,85.73,87.07,18,18
title,87.49,87.63,10,10
title,87.68,88.19,22,22
title,88.24,88.61,20,20
title,88.7,93.81,22,22
title,93.9,94.6,20,20
title,94.74,95.2,23,23
title,95.29,97.34,25,25
title,97.43,98.13,23,23
title,98.17,98.36,25,25
title,98.45,100.5,27,27
title,100.59,100.68,25,25
title,100.77,105.93,23,23
title,105.98,106.72,20,20
title,106.81,107.51,22,23
title,107.55,117.4,25,25
title,124.37,125.02,13,13
title,125.11,125.76,15,15
title,125.85,127.52,6,6
title,127.8,129.1,8,8
title,129.38,129.71,6,6
title,129.75,131.66,11,11
title,131.7,132.03,13,13
title,132.08,132.63,15,15
title,132.73,134.68,13,13
title,135.23,135.93,15,16
title,135.98,137.09,18,18
title,137.18,138.25,15,15
title,138.39,138.86,13,13
title,138.95,139.78,11,11
title,139.88,140.25,8,8
title,140.34,140.62,18,18
title,140.71,143.31,16,15
title,143.41,144.47,13,13
title,144.61,144.89,11,11
title,144.99,147.12,18,18
title,147.68,148,15,15
title,148.05,148.42,13,13
title,148.51,150.37,16,16
title,150.47,150.74,18,18
title,150.84,151.3,20,20
title,151.39,153.86,15,16
title,153.9,156.18,18,18
title,156.22,156.6,20,20
title,156.69,157.2,18,18
title,157.25,160.68,20,20
title,160.77,163.75,22,23
title,163.84,165.84,25,25
title,166.44,168.62,22,22
title,168.76,169.41,20,20
title,169.51,172.15,23,22
title,172.2,172.94,20,20
title,173.04,174.38,18,18
title,174.8,174.94,10,10
title,174.99,175.5,22,22
title,175.54,175.87,20,20
title,175.91,181.12,22,22
title,181.21,181.86,20,20
title,181.95,182.51,23,23
title,182.6,184.65,25,25
title,184.74,185.39,23,23
title,185.48,185.62,25,25
title,185.67,187.76,27,27
title,187.8,187.94,25,25
title,187.99,193.19,23,23
title,193.28,193.98,20,20
title,194.03,194.77,22,23
title,194.86,198.07,25,25
title,198.39,198.67,11,11
title,198.76,199.04,13,13
title,199.13,200.39,15,15
title,201.08,201.36,13,13
title,201.46,201.78,11,11
title,201.83,202.2,13,13
title,202.29,204.15,15,15
title,204.24,204.52,13,13
title,204.61,204.89,11,11
title,204.99,205.26,13,13
title,205.36,206.84,15,16
title,206.94,207.59,18,18
title,207.68,209.44,13,13
title,210,210.74,15,16
title,210.84,211.49,18,18
title,211.58,212.23,23,23
title,212.32,213.07,26,25
title,213.16,213.81,23,23
title,213.9,215.71,20,20
title,216.32,216.97,15,16
title,217.06,217.71,18,18
title,217.8,218.92,23,23
title,219.01,219.29,25,25
title,219.38,219.85,27,27
title,219.94,224.12,25,25
title,225.61,227.83,22,22
title,227.93,228.62,20,20
title,228.76,231.36,23,22
title,231.46,232.2,20,20
title,232.29,233.5,18,18
title,233.78,234.1,15,15
title,234.15,234.71,22,22
title,234.8,235.13,20,20
title,235.17,240.33,22,22
title,240.47,241.12,20,20
title,241.21,241.67,23,23
title,241.77,243.86,25,25
title,243.9,244.65,23,23
title,244.74,244.88,25,25
title,244.92,246.97,27,27
title,247.06,247.2,25,25
title,247.25,252.45,23,23
title,252.54,253.19,20,20
title,253.28,253.98,22,23
title,254.03,257,25,25
