title,15.79,16.65,18,17
title,16.67,17.79,16,17
title,18.25,25.05,11,12
title,25.08,25.52,14,13
title,25.91,28.49,12,11
title,29.40,29.49,16,16
title,29.58,30.63,18,18
title,31.11,31.86,16,16
title,32.60,32.74,12,12
title,32.83,34.27,14,14
title,35.71,36.48,16,16
title,37.24,37.31,11,11
title,37.38,38.43,13,14
title,39.24,41.91,19,19
title,42.96,43.19,21,21
title,43.28,44.03,23,23
title,44.12,44.79,25,25
title,44.81,46.56,23,23
title,46.67,47.35,21,22
title,47.37,47.58,23,23
title,47.65,50.50,21,20
title,51.04,51.64,23,23
title,52.20,54.15,18,18
title,54.47,54.75,22,23
title,54.89,55.01,24,23
title,55.08,55.38,22,23
title,55.40,55.98,24,23
title,56.01,57.45,22,23
title,57.59,57.89,26,25
title,57.96,58.03,28,27
title,58.05,60.16,24,23
title,60.42,60.65,16,16
title,60.74,60.84,27,27
title,60.98,61.05,28,28
title,61.11,61.39,25,25
title,61.67,62.11,23,24
title,62.14,63.27,25,24
title,63.30,63.92,23,23
title,64.37,64.57,16,16
title,64.78,65.36,21,22
title,65.39,65.76,23,23
title,65.99,66.15,21,21
title,66.32,66.90,19,20
title,66.92,67.11,22,21
title,67.15,67.55,20,20
title,67.94,68.15,5,5
title,68.36,89.23,18,17
title,90.23,91.16,14,14
title,92.09,92.21,11,11
title,92.32,93.09,13,14
title,93.44,94.09,9,9
title,94.74,95.20,11,12
title,95.48,95.99,8,8
title,96.50,100.24,12,11
title,101.66,101.89,18,19
title,102.07,103.12,20,20
title,104.16,104.44,12,12
title,104.72,110.36,14,14
title,110.85,110.92,18,18
title,110.99,112.11,20,20
title,112.15,114.17,18,18
title,114.43,114.85,21,22
title,114.89,118.10,24,24
title,118.98,119.07,21,21
title,119.16,119.61,23,22
title,119.63,120.93,21,22
title,121.25,121.67,17,17
title,122.04,122.67,21,21
title,122.74,123.02,23,23
title,123.30,123.86,20,21
title,124.18,125.78,17,18
title,126.08,126.22,21,21
title,126.27,127.41,23,23
title,127.43,127.64,25,25
title,127.66,129.17,22,23
title,129.20,130.71,25,25
title,130.77,131.75,23,24
title,131.98,132.17,16,16
title,132.35,132.56,27,28
title,132.77,132.96,24,25
title,133.05,133.12,27,27
title,133.19,133.31,25,24
title,133.33,133.61,23,23
title,133.70,133.86,26,26
title,134.03,134.44,23,23
title,134.49,134.93,25,24
title,134.95,135.70,23,23
title,136.30,137.04,21,21
title,137.14,137.21,23,23
title,137.28,139.06,21,20
title,139.41,142.99,18,19
title,143.17,143.85,22,23
title,143.96,144.47,24,25
title,144.52,144.87,26,27
title,144.94,145.03,24,24
title,145.08,145.71,26,25
title,145.77,147.66,23,22
title,147.68,147.73,21,21
title,147.77,148.77,23,23
title,148.98,151.86,20,20
title,152.69,152.93,26,27
title,153.02,153.60,24,23
title,153.62,154.16,22,23
title,154.18,154.51,24,23
title,156.18,156.69,25,26
title,156.97,157.15,20,20
title,157.29,157.73,22,23
title,157.76,159.03,24,25
title,159.06,159.15,26,26
title,159.24,159.59,24,25
title,159.61,160.06,26,25
title,160.08,161.08,23,23
title,161.29,162.01,21,22
title,162.03,162.54,23,24
title,162.59,162.70,25,25
title,162.82,162.93,21,22
title,162.96,163.21,23,23
title,163.24,166.46,21,21
title,167.00,167.02,26,26
title,167.09,167.53,28,27
title,167.56,168.04,26,26
title,168.16,168.21,25,25
title,168.25,168.69,23,23
title,168.81,175.06,26,26
title,175.26,175.38,24,24
title,175.40,175.64,26,26
title,175.73,176.36,24,25
title,176.38,177.68,26,27
title,177.73,178.42,24,23
title,178.93,178.96,23,23
title,178.98,179.07,25,24
title,179.12,179.95,22,23
title,180.05,180.23,24,24
title,180.33,180.44,27,27
title,180.56,180.88,23,23
title,180.93,181.46,21,22
title,181.49,181.93,23,22
title,182.28,182.44,19,19
title,182.60,183.32,21,22
title,183.44,183.51,23,24
title,183.53,183.74,25,24
title,183.90,184.34,22,22
title,184.37,184.44,24,24
title,184.51,184.92,19,18
title,184.97,184.99,17,17
title,185.02,185.36,19,18
title,185.62,185.69,16,16
title,185.76,186.06,18,19
title,186.08,186.41,20,19
title,186.50,186.85,22,22
title,186.92,187.97,24,24
title,188.04,188.20,27,28
title,188.50,189.43,27,27
title,189.66,190.01,23,24
title,190.12,191.80,26,27
title,191.89,192.68,24,24
title,192.86,193.17,17,17
title,193.24,193.52,28,28
title,193.70,193.79,25,24
title,193.84,194.17,27,27
title,194.21,194.56,25,24
title,194.72,194.77,27,27
title,194.82,195.37,25,24
title,195.42,195.63,27,27
title,195.74,196.00,25,25
title,196.16,196.26,23,22
title,196.39,197.49,22,23
title,197.56,198.46,24,23
title,198.72,201.25,21,20
title,201.27,206.24,19,19
title,208.56,208.68,22,23
title,208.70,208.91,24,24
title,209.03,212.11,22,22
title,213.11,213.16,19,19
