title,15.23,15.51,11
title,15.51,16.63,13
title,16.63,18.30,11
title,18.30,19.50,9
title,22.20,23.31,9
title,23.31,24.24,11
title,24.24,24.71,9
title,24.71,25.73,13
title,29.63,29.81,13
title,29.81,30.28,16
title,30.28,30.46,13
title,30.46,31.21,16
title,31.21,32.51,11
title,32.51,32.97,9
title,35.02,35.20,6
title,35.20,35.67,9
title,36.50,36.78,9
title,36.78,36.97,11
title,36.97,38.08,9
title,38.36,38.55,9
title,38.55,38.73,11
title,38.73,40.12,9
title,43.93,44.12,16
title,44.12,45.23,18
title,45.23,45.51,16
title,45.51,46.35,14
title,46.35,46.81,16
title,46.81,48.11,13
title,49.32,49.78,9
title,49.78,49.97,11
title,49.97,50.62,13
title,50.62,51.27,11
title,51.27,51.55,9
title,51.55,52.66,11
title,53.59,53.78,9
title,53.78,54.89,11
title,54.89,55.08,13
title,55.08,55.36,9
title,55.36,56.01,11
title,56.29,56.66,9
title,56.66,56.94,11
title,56.94,57.12,13
title,57.12,57.40,14
title,57.40,58.42,16
title,58.70,59.81,13
title,60.93,61.21,11
title,61.21,62.04,9
title,62.04,62.51,6
title,62.51,63.34,9
title,63.62,64.55,13
title,64.55,64.74,11
title,64.74,65.67,9
title,65.67,65.85,6
title,65.85,67.24,9
title,67.24,67.43,11
title,67.43,67.62,9
title,67.62,69.20,13
title,69.20,69.47,9
title,69.47,70.59,11
title,72.54,72.82,13
title,72.82,73.28,16
title,73.28,73.47,13
title,73.47,74.12,16
title,74.12,75.51,11
title,75.51,76.81,9
title,77.93,78.20,6
title,78.20,78.39,8
title,78.39,79.78,9
title,79.78,80.06,11
title,80.06,81.27,9
title,81.55,81.83,11
title,81.83,83.13,9
title,86.94,87.12,11
title,87.12,88.24,13
title,88.24,89.91,11
title,89.91,91.12,9
title,94.09,95.02,9
title,95.02,95.85,11
title,95.85,96.32,9
title,96.32,98.17,13
title,101.24,101.42,13
title,101.42,101.89,16
title,101.89,102.17,13
title,102.17,102.54,16
title,102.54,102.82,18
title,102.82,104.12,11
title,104.12,105.51,9
title,106.63,106.81,6
title,106.81,107.37,9
title,108.39,108.67,11
title,108.67,110.16,9
title,110.16,110.43,11
title,110.43,111.73,9
title,115.54,115.82,16
title,115.82,116.94,18
title,116.94,117.12,16
title,117.12,118.05,14
title,118.05,118.51,16
title,118.51,119.81,13
title,120.93,121.39,9
title,121.39,121.58,11
title,121.58,122.32,13
title,122.32,122.97,11
title,122.97,123.16,9
title,123.16,124.27,11
title,125.20,125.39,9
title,125.39,126.50,11
title,126.50,126.78,13
title,126.78,126.97,9
title,126.97,127.52,11
title,127.52,127.99,9
title,127.99,128.17,11
title,128.17,128.45,13
title,128.45,128.64,14
title,128.64,129.66,16
title,130.03,131.15,13
title,132.26,132.45,11
title,132.45,133.38,9
title,133.38,133.84,6
title,133.84,134.68,9
title,134.95,135.79,13
title,135.79,136.07,11
title,136.07,136.90,9
title,136.90,137.00,7
title,137.00,137.18,6
title,137.18,138.48,9
title,138.48,138.76,11
title,138.76,138.95,9
title,138.95,140.06,13
title,140.34,140.53,13
title,140.53,140.62,14
title,140.62,140.71,13
title,140.71,141.83,11
title,143.87,144.15,13
title,144.15,145.45,16
title,145.45,146.84,11
title,146.84,148.14,9
title,149.26,149.44,6
title,149.44,149.72,8
title,149.72,151.02,9
title,151.02,151.39,11
title,151.39,152.60,9
title,152.88,153.16,11
title,153.16,154.37,9
title,154.64,154.83,9
title,154.83,155.11,11
title,155.11,155.30,9
title,155.30,156.13,13
title,156.13,156.22,11
title,156.22,157.06,9
title,158.17,159.57,18
title,159.57,159.75,16
title,159.75,160.68,14
title,161.80,163.10,16
title,163.10,163.38,21
title,163.38,163.84,16
title,163.84,164.95,13
title,164.95,165.60,11
title,165.60,165.79,9
title,165.79,166.91,11
title,167.83,168.02,9
title,168.02,168.48,18
title,168.48,169.23,16
title,169.23,169.41,13
title,169.41,171.27,16
title,174.34,174.52,9
title,174.52,174.80,11
title,174.80,174.99,13
title,174.99,175.26,14
title,175.26,176.29,16
title,176.56,177.68,13
title,178.79,179.07,11
title,179.07,179.91,9
title,179.91,180.19,6
title,180.19,181.21,9
title,181.49,182.42,13
title,182.42,182.60,11
title,182.60,183.53,9
title,183.53,183.72,6
title,183.72,185.11,9
title,185.11,185.30,11
title,185.30,185.57,9
title,185.57,187.06,13
title,187.06,187.25,14
title,187.25,187.34,13
title,187.34,188.45,11
title,190.50,190.68,13
title,190.68,191.15,16
title,191.15,191.33,13
title,191.33,191.80,16
title,191.80,192.26,18
title,192.26,192.73,11
title,192.73,192.91,9
title,192.91,193.38,11
title,193.38,194.68,9
title,195.79,195.88,7
title,195.88,196.07,6
title,196.07,196.26,8
title,196.26,197.65,9
title,197.65,197.93,11
title,197.93,199.13,9
title,199.41,199.69,11
title,199.69,203.22,9
