title,7.52,7.8,3,3
title,7.8,7.99,12,12
title,7.99,8.17,10,10
title,8.17,8.45,8,8
title,8.45,9.57,3,3
title,9.57,9.75,12,12
title,9.75,9.94,10,10
title,9.94,10.22,8,8
title,10.22,11.33,5,5
title,11.33,11.52,13,13
title,11.52,11.7,12,12
title,11.7,11.98,10,10
title,11.98,12.82,7,7
title,12.82,13.28,15,15
title,13.28,13.47,13,13
title,13.47,13.75,10,10
title,13.75,14.12,12,12
title,14.12,14.58,8,8
title,14.58,14.86,3,3
title,14.86,15.05,12,12
title,15.05,15.23,10,10
title,15.23,15.51,8,8
title,15.51,16.63,3,3
title,16.63,16.81,12,12
title,16.81,17,10,10
title,17,17.28,8,8
title,17.28,18.39,5,5
title,18.39,18.58,13,13
title,18.58,18.76,12,12
title,18.76,19.04,10,10
title,19.04,19.88,15,15
title,19.88,20.06,17,17
title,20.06,20.34,15,15
title,20.34,20.53,13,13
title,20.53,20.81,10,10
title,20.81,21.64,8,8
title,21.64,23.68,12,12
title,23.68,23.87,15,15
title,23.87,24.24,8,8
title,24.24,24.33,10,10
title,24.33,25.17,12,12
title,25.17,26.28,13,13
title,26.28,27.21,12,12
title,27.21,27.68,10,10
title,27.68,27.86,8,8
title,27.86,28.33,10,10
title,28.33,28.79,15,15
title,28.79,30.74,12,12
title,30.74,31.02,15,15
title,31.02,31.3,8,8
title,31.3,31.39,10,10
title,31.39,32.32,12,12
title,32.32,33.44,13,13
title,33.44,34.09,12,12
title,34.09,34.55,15,15
title,34.55,34.74,13,13
title,34.74,35.02,10,10
title,35.02,36.04,8,8
